TradingDay,ActionDay,ExchangeId,StockCode,StockName,UpdateTime,LastPrice,PreSettlePrice,SettlePrice,PreClosePrice,OpenPrice,LowPrice,HighPrice,ClosePrice,UpperLimitPrice,LowerLimitPrice,Volume,PreOpenInterest,TurnOver,OpenInterest,PreDelta,CurrDelta,UpdateMillisec,AveragePrice,SellPrice1,SellPrice2,SellPrice3,SellPrice4,SellPrice5,BuyPrice1,BuyPrice2,BuyPrice3,BuyPrice4,BuyPrice5,SellQuantity1,SellQuantity2,SellQuantity3,SellQuantity4,SellQuantity5,BuyQuantity1,BuyQuantity2,BuyQuantity3,BuyQuantity4,BuyQuantity5,
20240722,20240719,,cu2408,,23:08:19,76260000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22694,151982,8652907100000,148671,0,0,500,381286110,76260000,0,0,0,0,76250000,0,0,0,0,5,0,0,0,0,56,0,0,0,0,
20240722,20240719,,cu2408,,23:08:20,76260000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22694,151982,8652907100000,148671,0,0,0,381286110,76260000,0,0,0,0,76250000,0,0,0,0,9,0,0,0,0,56,0,0,0,0,
20240722,20240719,,cu2408,,23:08:20,76260000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22694,151982,8652907100000,148671,0,0,500,381286110,76260000,0,0,0,0,76250000,0,0,0,0,6,0,0,0,0,56,0,0,0,0,
20240722,20240719,,cu2408,,23:08:21,76260000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22694,151982,8652907100000,148671,0,0,0,381286110,76260000,0,0,0,0,76250000,0,0,0,0,6,0,0,0,0,56,0,0,0,0,
20240722,20240719,,cu2408,,23:08:21,76260000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22694,151982,8652907100000,148671,0,0,500,381286110,76260000,0,0,0,0,76250000,0,0,0,0,10,0,0,0,0,56,0,0,0,0,
20240722,20240719,,cu2408,,23:08:22,76260000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22694,151982,8652907100000,148671,0,0,0,381286110,76260000,0,0,0,0,76250000,0,0,0,0,6,0,0,0,0,56,0,0,0,0,
20240722,20240719,,cu2408,,23:08:22,76260000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22694,151982,8652907100000,148671,0,0,500,381286110,76260000,0,0,0,0,76250000,0,0,0,0,13,0,0,0,0,56,0,0,0,0,
20240722,20240719,,cu2408,,23:08:23,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22702,151982,8655957100000,148663,0,0,0,381286100,76260000,0,0,0,0,76250000,0,0,0,0,13,0,0,0,0,48,0,0,0,0,
20240722,20240719,,cu2408,,23:08:23,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22750,151982,8674257100000,148666,0,0,500,381286020,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,6,0,0,0,0,
20240722,20240719,,cu2408,,23:08:24,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22751,151982,8674638350000,148666,0,0,0,381286020,76250000,0,0,0,0,76240000,0,0,0,0,8,0,0,0,0,5,0,0,0,0,
20240722,20240719,,cu2408,,23:08:24,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22753,151982,8675400800000,148667,0,0,500,381286020,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,4,0,0,0,0,
20240722,20240719,,cu2408,,23:08:25,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22753,151982,8675400800000,148667,0,0,0,381286020,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,2,0,0,0,0,
20240722,20240719,,cu2408,,23:08:25,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22753,151982,8675400800000,148667,0,0,500,381286020,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,4,0,0,0,0,
20240722,20240719,,cu2408,,23:08:26,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22753,151982,8675400800000,148667,0,0,0,381286020,76250000,0,0,0,0,76240000,0,0,0,0,3,0,0,0,0,4,0,0,0,0,
20240722,20240719,,cu2408,,23:08:26,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22753,151982,8675400800000,148667,0,0,500,381286020,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,4,0,0,0,0,
20240722,20240719,,cu2408,,23:08:27,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22753,151982,8675400800000,148667,0,0,0,381286020,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,4,0,0,0,0,
20240722,20240719,,cu2408,,23:08:28,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22753,151982,8675400800000,148667,0,0,0,381286020,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,13,0,0,0,0,
20240722,20240719,,cu2408,,23:08:28,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22757,151982,8676925800000,148664,0,0,500,381286010,76260000,0,0,0,0,76240000,0,0,0,0,14,0,0,0,0,13,0,0,0,0,
20240722,20240719,,cu2408,,23:08:29,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22757,151982,8676925800000,148664,0,0,0,381286010,76260000,0,0,0,0,76240000,0,0,0,0,12,0,0,0,0,13,0,0,0,0,
20240722,20240719,,cu2408,,23:08:29,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22757,151982,8676925800000,148664,0,0,500,381286010,76260000,0,0,0,0,76240000,0,0,0,0,12,0,0,0,0,10,0,0,0,0,
20240722,20240719,,cu2408,,23:08:30,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22757,151982,8676925800000,148664,0,0,0,381286010,76260000,0,0,0,0,76240000,0,0,0,0,12,0,0,0,0,10,0,0,0,0,
20240722,20240719,,cu2408,,23:08:31,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22757,151982,8676925800000,148664,0,0,500,381286010,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,10,0,0,0,0,
20240722,20240719,,cu2408,,23:08:32,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22757,151982,8676925800000,148664,0,0,0,381286010,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,6,0,0,0,0,
20240722,20240719,,cu2408,,23:08:32,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22757,151982,8676925800000,148664,0,0,500,381286010,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,4,0,0,0,0,
20240722,20240719,,cu2408,,23:08:33,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22760,151982,8678069400000,148662,0,0,0,381286000,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,1,0,0,0,0,
20240722,20240719,,cu2408,,23:08:33,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22760,151982,8678069400000,148662,0,0,500,381286000,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,2,0,0,0,0,
20240722,20240719,,cu2408,,23:08:34,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22760,151982,8678069400000,148662,0,0,0,381286000,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,9,0,0,0,0,
20240722,20240719,,cu2408,,23:08:36,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22761,151982,8678450600000,148662,0,0,0,381285990,76260000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,8,0,0,0,0,
20240722,20240719,,cu2408,,23:08:36,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22761,151982,8678450600000,148662,0,0,500,381285990,76250000,0,0,0,0,76240000,0,0,0,0,2,0,0,0,0,2,0,0,0,0,
20240722,20240719,,cu2408,,23:08:37,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22765,151982,8679975600000,148664,0,0,0,381285990,76250000,0,0,0,0,76230000,0,0,0,0,5,0,0,0,0,16,0,0,0,0,
20240722,20240719,,cu2408,,23:08:37,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22765,151982,8679975600000,148664,0,0,500,381285990,76250000,0,0,0,0,76230000,0,0,0,0,2,0,0,0,0,20,0,0,0,0,
20240722,20240719,,cu2408,,23:08:38,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22765,151982,8679975600000,148664,0,0,0,381285990,76250000,0,0,0,0,76230000,0,0,0,0,2,0,0,0,0,42,0,0,0,0,
20240722,20240719,,cu2408,,23:08:38,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22765,151982,8679975600000,148664,0,0,500,381285990,76250000,0,0,0,0,76230000,0,0,0,0,1,0,0,0,0,50,0,0,0,0,
20240722,20240719,,cu2408,,23:08:39,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22765,151982,8679975600000,148664,0,0,0,381285990,76250000,0,0,0,0,76240000,0,0,0,0,1,0,0,0,0,2,0,0,0,0,
20240722,20240719,,cu2408,,23:08:39,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22765,151982,8679975600000,148664,0,0,500,381285990,76260000,0,0,0,0,76240000,0,0,0,0,15,0,0,0,0,5,0,0,0,0,
20240722,20240719,,cu2408,,23:08:40,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22765,151982,8679975600000,148664,0,0,500,381285990,76250000,0,0,0,0,76240000,0,0,0,0,11,0,0,0,0,5,0,0,0,0,
20240722,20240719,,cu2408,,23:08:41,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,0,381285980,76250000,0,0,0,0,76230000,0,0,0,0,13,0,0,0,0,15,0,0,0,0,
20240722,20240719,,cu2408,,23:08:41,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,500,381285980,76240000,0,0,0,0,76230000,0,0,0,0,7,0,0,0,0,15,0,0,0,0,
20240722,20240719,,cu2408,,23:08:42,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,0,381285980,76240000,0,0,0,0,76230000,0,0,0,0,9,0,0,0,0,15,0,0,0,0,
20240722,20240719,,cu2408,,23:08:42,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,500,381285980,76240000,0,0,0,0,76230000,0,0,0,0,5,0,0,0,0,15,0,0,0,0,
20240722,20240719,,cu2408,,23:08:43,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,0,381285980,76240000,0,0,0,0,76230000,0,0,0,0,5,0,0,0,0,15,0,0,0,0,
20240722,20240719,,cu2408,,23:08:43,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,500,381285980,76240000,0,0,0,0,76230000,0,0,0,0,3,0,0,0,0,15,0,0,0,0,
20240722,20240719,,cu2408,,23:08:46,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,500,381285980,76240000,0,0,0,0,76230000,0,0,0,0,1,0,0,0,0,17,0,0,0,0,
20240722,20240719,,cu2408,,23:08:47,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,0,381285980,76240000,0,0,0,0,76230000,0,0,0,0,1,0,0,0,0,17,0,0,0,0,
20240722,20240719,,cu2408,,23:08:47,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,500,381285980,76240000,0,0,0,0,76230000,0,0,0,0,1,0,0,0,0,22,0,0,0,0,
20240722,20240719,,cu2408,,23:08:48,76250000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22767,151982,8680738100000,148662,0,0,0,381285980,76240000,0,0,0,0,76230000,0,0,0,0,1,0,0,0,0,22,0,0,0,0,
20240722,20240719,,cu2408,,23:08:50,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22768,151982,8681119300000,148662,0,0,0,381285980,76250000,0,0,0,0,76240000,0,0,0,0,14,0,0,0,0,4,0,0,0,0,
20240722,20240719,,cu2408,,23:08:50,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22769,151982,8681500500000,148663,0,0,500,381285980,76250000,0,0,0,0,76240000,0,0,0,0,10,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:08:51,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22769,151982,8681500500000,148663,0,0,0,381285980,76250000,0,0,0,0,76240000,0,0,0,0,10,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:08:52,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:08:52,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,500,381285970,76250000,0,0,0,0,76240000,0,0,0,0,6,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:08:53,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,9,0,0,0,0,1,0,0,0,0,
20240722,20240719,,cu2408,,23:08:53,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,500,381285970,76250000,0,0,0,0,76240000,0,0,0,0,13,0,0,0,0,1,0,0,0,0,
20240722,20240719,,cu2408,,23:08:54,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,9,0,0,0,0,1,0,0,0,0,
20240722,20240719,,cu2408,,23:08:54,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,500,381285970,76250000,0,0,0,0,76240000,0,0,0,0,7,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:08:55,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,5,0,0,0,0,
20240722,20240719,,cu2408,,23:08:56,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,7,0,0,0,0,
20240722,20240719,,cu2408,,23:08:57,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,4,0,0,0,0,5,0,0,0,0,
20240722,20240719,,cu2408,,23:08:57,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,500,381285970,76250000,0,0,0,0,76240000,0,0,0,0,12,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:08:58,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,8,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:09:00,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,8,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:09:01,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,500,381285970,76250000,0,0,0,0,76240000,0,0,0,0,8,0,0,0,0,3,0,0,0,0,
20240722,20240719,,cu2408,,23:09:02,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,0,381285970,76250000,0,0,0,0,76240000,0,0,0,0,8,0,0,0,0,1,0,0,0,0,
20240722,20240719,,cu2408,,23:09:02,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22771,151982,8682262900000,148665,0,0,500,381285970,76250000,0,0,0,0,76240000,0,0,0,0,12,0,0,0,0,1,0,0,0,0,
20240722,20240719,,cu2408,,23:09:03,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22772,151982,8682644100000,148665,0,0,0,381285970,76250000,0,0,0,0,76230000,0,0,0,0,14,0,0,0,0,16,0,0,0,0,
20240722,20240719,,cu2408,,23:09:04,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22772,151982,8682644100000,148665,0,0,0,381285970,76250000,0,0,0,0,76230000,0,0,0,0,14,0,0,0,0,18,0,0,0,0,
20240722,20240719,,cu2408,,23:09:04,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22772,151982,8682644100000,148665,0,0,500,381285970,76250000,0,0,0,0,76230000,0,0,0,0,15,0,0,0,0,18,0,0,0,0,
20240722,20240719,,cu2408,,23:09:05,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22772,151982,8682644100000,148665,0,0,0,381285970,76250000,0,0,0,0,76230000,0,0,0,0,11,0,0,0,0,44,0,0,0,0,
20240722,20240719,,cu2408,,23:09:05,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22772,151982,8682644100000,148665,0,0,500,381285970,76250000,0,0,0,0,76230000,0,0,0,0,8,0,0,0,0,49,0,0,0,0,
20240722,20240719,,cu2408,,23:09:06,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22772,151982,8682644100000,148665,0,0,0,381285970,76250000,0,0,0,0,76230000,0,0,0,0,8,0,0,0,0,50,0,0,0,0,
20240722,20240719,,cu2408,,23:09:07,76240000,76780000,0,76580000,76350000,76050000,76450000,0,82150000,71400000,22772,151982,8682644100000,148665,0,0,0,381285970,76250000,0,0,0,0,76230000,0,0,0,0,8,0,0,0,0,51,0,0,0,0,
